Players,Values
Ederson,€45.00m 
Zack Steffen,€6.00m 
Scott Carson,€300k 
Rúben Dias,€75.00m 
Aymeric Laporte,€45.00m 
John Stones,€28.00m 
Nathan Aké,€25.00m 
Philippe Sandler,€2.00m 
CJ Egan-Riley,€800k 
Luke Mbete,€600k 
Finley Burns,€300k 
Oleksandr Zinchenko,€25.00m 
Josh Wilson-Esbrand,€400k 
João Cancelo,€65.00m 
Kyle Walker,€18.00m 
Yan Couto,€5.00m 
Rodri,€80.00m 
Roméo Lavia,€2.00m 
Fernandinho,€1.50m 
Claudio Gomes,€1.00m 
Ilkay Gündogan,€25.00m 
James McAtee,€3.00m 
Tommy Doyle,€2.50m 
Kevin De Bruyne,€85.00m 
Bernardo Silva,€80.00m 
Cole Palmer,€6.00m 
Phil Foden,€90.00m 
Raheem Sterling,€70.00m 
Jack Grealish,€70.00m 
Ferran Torres,€45.00m 
Samuel Edozie,€800k 
Riyad Mahrez,€35.00m 
Kayky,€14.00m 
Gabriel Jesus,€50.00m 
Liam Delap,€1.50m 
Aaron Ramsdale,€28.00m 
Bernd Leno,€9.00m 
Arthur Okonkwo,€1.50m 
Karl Hein,€800k 
Gabriel Magalhães,€38.00m 
Rob Holding,€10.00m 
Calum Chambers,€10.00m 
Pablo Marí,€5.00m 
Kieran Tierney,€32.00m 
Nuno Tavares,€15.00m 
Sead Kolasinac,€3.00m 
Ben White,€40.00m 
Takehiro Tomiyasu,€25.00m 
Héctor Bellerín,€20.00m 
Cédric Soares,€6.00m 
Ryan Alebiosu,€200k 
Zak Swanson,€150k 
Thomas Partey,€38.00m 
Mohamed Elneny,€11.00m 
Granit Xhaka,€20.00m 
Albert Sambi Lokonga,€14.00m 
Charlie Patino,€2.00m 
Miguel Azeez,€800k 
Ainsley Maitland-Niles,€10.00m 
Martin Ødegaard,€45.00m 
Emile Smith Rowe,€40.00m 
Marcelo Flores,€1.50m 
Gabriel Martinelli,€40.00m 
Bukayo Saka,€65.00m 
Nicolas Pépé,€25.00m 
Reiss Nelson,€6.50m 
Eddie Nketiah,€16.00m 
Pierre-Emerick Aubameyang,€15.00m 
Alexandre Lacazette,€15.00m 
Folarin Balogun,€4.00m 
Mika Biereth,€600k 
Edouard Mendy,€32.00m 
Kepa Arrizabalaga,€10.00m 
Marcus Bettinelli,€2.00m 
Antonio Rüdiger,€40.00m 
Andreas Christensen,€35.00m 
Kurt Zouma,€28.00m 
Trevoh Chalobah,€20.00m 
Malang Sarr,€8.00m 
Thiago Silva,€2.50m 
Jake Clarke-Salter,€2.00m 
Xavier Mbuyamba,€500k 
Ben Chilwell,€38.00m 
Emerson,€14.00m 
Marcos Alonso,€12.00m 
Abdul-Rahman Baba,€2.20m 
Dylan Williams,€200k 
Reece James,€60.00m 
César Azpilicueta,€9.00m 
Jorginho,€40.00m 
N'Golo Kanté,€40.00m 
Xavier Simons,€300k 
Mateo Kovacic,€42.00m 
Saúl Ñíguez,€25.00m 
Ruben Loftus-Cheek,€20.00m 
Billy Gilmour,€12.00m 
Ross Barkley,€12.00m 
Lewis Baker,€3.00m 
Danny Drinkwater,€1.20m 
Mason Mount,€75.00m 
Kai Havertz,€70.00m 
Harvey Vale,€400k 
Callum Hudson-Odoi,€25.00m 
Kenedy,€7.00m 
Charly Musonda Jr.,€900k 
Christian Pulisic,€42.00m 
Hakim Ziyech,€28.00m 
Romelu Lukaku,€70.00m 
Tammy Abraham,€50.00m 
Timo Werner,€35.00m 
Jude Soonsup-Bell,€300k 
Alisson,€50.00m 
Caoimhín Kelleher,€8.00m 
Loris Karius,€1.50m 
Adrián,€1.00m 
Marcelo Pitaluga,€100k 
Virgil van Dijk,€55.00m 
Ibrahima Konaté,€40.00m 
Joe Gomez,€18.00m 
Joel Matip,€18.00m 
Nathaniel Phillips,€8.00m 
Sepp van den Berg,€5.00m 
Rhys Williams,€4.00m 
Ben Davies,€2.50m 
Billy Koumetio,€800k 
Andrew Robertson,€65.00m 
Konstantinos Tsimikas,€15.00m 
Owen Beck,€400k 
Trent Alexander-Arnold,€80.00m 
Neco Williams,€8.00m 
Conor Bradley,€1.00m 
Fabinho,€60.00m 
Curtis Jones,€28.00m 
